"Reference","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","LCSC"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C13","100n","","","","Capacitor_SMD:C_0402_1005Metric","C1525"
"C12,C14,C15,C16,C27,C28","4.7u","","","","Capacitor_SMD:C_0402_1005Metric","C23733"
"C17,C18","15p","","","","Capacitor_SMD:C_0402_1005Metric","C86285"
"C19,C20,C21,C22,C23,C24,C25,C26,C29,C30,C31,C32","1u","","","","Capacitor_SMD:C_0402_1005Metric","C29266"
"C33","22u","","","","Capacitor_SMD:C_0402_1005Metric","C105226"
"C34","0.1u","","","","Capacitor_SMD:C_0402_1005Metric","C1525"
"C35,C36,C37","100u","","","","Capacitor_SMD:C_1206_3216Metric","C15008"
"C38,C39","10u","","","","Capacitor_SMD:C_0402_1005Metric","C15525"
"D1,D2,D3","MBR0530","","","","Diode_SMD:D_SOD-123","C18863"
"J1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Hirose_DM3D-SF","C719027"
"J2","AudioJack3","","","","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","C4991872"
"J3","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_Amphenol_124019772112A","C5430474"
"L1","3.3u","","","","RP2350_60QFN_minimal:L_pol_2016","C42411119"
"L2","10u","","","","Inductor_SMD:L_1206_3216Metric","C1051"
"Q1","Si1308EDL","","","","Package_TO_SOT_SMD:SOT-323_SC-70","C4355112"
"R1","33","","","","Resistor_SMD:R_0402_1005Metric","C1091"
"R2,R3,R4","1k","","","","Resistor_SMD:R_0402_1005Metric","C71623"
"R5,R6","27","","","","Resistor_SMD:R_0402_1005Metric","C1091"
"R7,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R26,R27","10k","","","","Resistor_SMD:R_0402_1005Metric","C71617"
"R8","3","","","","Resistor_SMD:R_0402_1005Metric","C400520"
"R22,R23,R24,R25","3.9k","","","","Resistor_SMD:R_0402_1005Metric","C278582"
"R28,R29","5k1","","","","Resistor_SMD:R_0402_1005Metric","C25941"
"SW1,SW2,SW4,SW5,SW6,SW7","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","C269272"
"SW3","RotaryEncoder_Switch_MP","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","C202365"
"U1","RP2350_60QFN","","","","RP2350_60QFN_minimal:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias","C41378174"
"U2","~","","","","USER Library:FPC_24_TOP_CONTACTS","C22751583"
"U3","~","","Excluded from BOM","","USER Library:RDA5807M module",""
"U4","TS5A23159DGS","","","","Package_SO:VSSOP-10_3x3mm_P0.5mm","C42751"
"U5","TDA1308","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C38340"
"U6","NCP1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C26537"
"Y1","Crystal_GND24","","","","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","C20625731"
